user.state.subs,binari.engaged,total.user.time.played.week.journey,periodicity,daytime.listened,total.user.skipped.week.journey,v1.perc.listened,artists.playlists.perc.listened,charts.perc.listened,content.lens.perc.listened,now.series.perc.listened,offline.playlists.perc.listened,online.playlist.perc.listened,playlists.perc.listened,promo.perc.listened,radio.perc.listened,recently.played.perc.listened,search.perc.listened,unknown.perc.listened,total.user.ratio.success.search.play.after30.sec,total.avg.time.background.week.journey,total.avg.time.foreground.week.journey,total.unique.playlists.played.week.journey,total.user.created.week.journey,total.user.trackadded.week.journey,total.user.ratio.skipped.week.journey,total.user.ratio.saved.week.journey,total.user.ratio.added.week.journey,songs.per.playlist.ratio
23,No,7854.333,0.754,Day,1,0,0,0,36.1,0,0,87.033,0,2.8,0,0,0,0,75,6995,383.333,9.667,0,0,2.913,0,0,0
53,Yes,1730,2.289,Day,2.5,0,0,0,0,0,0,0,28.6,50,0,71.4,75,0,33.3,3316.333,207.25,1.333,0,0,28.846,11.538,0,0
23,No,4641.4,0.912,Night,6,0,51.425,0,2.8,71.533,0,0,7.3,0,0,0,31.1,0,25,2751.2,691.8,4.2,0,0,17.964,0,0,0
23,No,741,0,Early,1,0,14.3,14.3,0,14.3,0,0,28.6,28.6,0,0,0,0,0,508,257,5,0,0,14.286,0,0,0
23,No,377,0,Night,5,0,0,0,0,70,0,0,0,0,0,0,30,0,10,1886,447,4,0,0,50,0,0,0
85,No,5104.8,0.55,Day,37.75,0,0,21.9,17.95,22.25,49.28,0,18.433,0,0,0,37.2,0,0,26878.667,1284.5,5.8,0,0,54.083,50.143,0,0
23,Yes,4371,0,Early,7,0,0,0,0,0,0,0,100,0,0,0,0,0,0,751,17,1,0,0,26.923,0,0,0
23,No,7165.667,1.346,Day,0,0,0,0,82.6,0,0,0,0,0,0,52.2,0,0,0,3016.333,340,1.333,0,0,0,0,0,0
23,No,10275.5,1.036,Late night,4.5,0,0,0,17.2,0,57.933,29,0,0,0,0,44.6,0,27.9,54283.667,1828.5,8,2,101,5.806,49.032,130.323,50.5
23,No,8166.667,0.937,Day,11,0,45.15,0,1.5,11.9,0,0,0,58.3,100,0,55.35,0,53.8,29294.8,187.333,3,0,0,24.812,0,0,0
23,No,834.5,10.49,Day,17,0,0,0,0,0,0,100,0,0,0,0,0,0,0,170,110,4,0,0,79.07,0,0,0
23,Yes,936,3.675,Day,23,0,0,0,0,0,100,0,0,0,0,0,0,0,0,14244.667,215.333,1,0,0,209.091,0,0,0
23,No,1299,0,Early,7,0,0,0,0,0,0,0,0,100,0,0,0,0,0,303,56,1,0,0,50,0,0,0
23,Yes,8402,0.99,Day,28.833,0,24.04,36.667,18.338,3.375,0,12,15.4,26.722,10.85,17.733,29.06,0,63.6,61756.667,5303.444,12.889,1,32,33.057,0,36.688,32
23,No,7151,0.306,Day,65,0,0,0,43.3,0,0,0,29.9,10.3,0,0,16.5,0,25,30683,3692,7,0,0,67.01,0,0,0
23,Yes,42,0,Day,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0
23,Yes,2083.6,2.283,Day,4.667,0,11.1,0,48.6,67.625,51.45,0,60.283,56.5,0,100,28.833,0,21.9,2972,338.364,3.4,0,0,30.303,47.619,0,0
23,Yes,3525.75,3.47,Day,3,0,42.9,0,57.45,53.25,0,0,31.1,2.9,0,0,47.65,0,100,3361.5,424.5,2.75,0,0,13.636,0,0,0
23,Yes,11147.25,1.28,Day,15.143,0,35.7,13.6,10.75,62.49,0.8,0,38.45,7.6,0,27.85,7.2,0,0,14562.833,1089.333,8.625,0,0,18.988,1.254,0,0
23,No,357.333,5.789,Night,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,1231.833,51,1.333,0,1,0,0,20,0
85,No,2379.5,3.491,Early,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,3364,162.5,1,0,0,0,0,0,0
23,No,225,1.789,Early,3,0,0,0,0,0,0,0,0,0,0,0,100,0,0,580,118,2,0,0,50,450,0,0
23,No,2445,0,Day,0,0,0,0,0,14.3,0,0,85.7,0,0,0,0,0,0,348,1861,5,0,2,0,0,9.524,0
23,No,1872,0,Early,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,49869,1879,1,0,0,0,0,0,0
23,Yes,23914.2,0.757,Early,0,0,60,24.9,84,42.667,0,0,23.05,57.24,0,54.533,0,0,0,33645.2,512.3,2.6,0,0,0,0,0,0
23,No,9063.667,1.514,Day,11.333,0,52.05,17.4,2.5,38,0,13.2,7.65,0,0,29.8,39.85,0,0,40987,643,5.333,2,7,19.883,0,12.281,3.5
23,Yes,9180.8,0.71,Night,1,0,58.65,0,0,37,19.5,0,59.914,90.25,0,27.35,0,0,0,26492.7,1148.4,1.8,0,0,2.288,0,0,0
23,Yes,7783,0.606,Early,6.25,0,26.578,3.833,5.1,14.271,55.233,58.538,18.7,11.68,16.34,3.65,0,0,0,8159.75,2642.667,10.5,0,16,11.398,0,29.179,0
23,No,10018.333,1.714,Day,10,0,0,0,0,100,0,0,0,0,0,0,100,0,0,13175.333,351.25,1.333,0,0,20.69,12.414,0,0
23,Yes,2372,3.232,Day,16,0,42.75,16.9,15,63.117,0,16.7,43.225,53.7,0,61.1,6.7,0,100,2145.429,740.857,3.2,0,1,48.485,0,3.03,0
53,Yes,3201.333,0.878,Day,4.667,0,0,30.55,0,0,0,0,86.1,0,0,66.7,0,0,0,6988.667,174.667,1.667,0,0,22.581,0,0,0
53,No,7247.111,0.414,Day,2,0,6.533,14.338,0,29.633,37.75,3.8,31.175,19.757,13.4,0,4.767,0,18.8,26742.111,2666.667,10.778,1.333,13.333,2.632,11.111,17.544,10
23,No,1610,0,Night,0,0,33.3,0,0,26.7,0,0,0,0,0,0,40,0,0,66002,900.5,4,0,1,0,0,6.667,0
23,No,702.5,5.692,Day,11,0,0,0,0,19.9,0,0,0,51.5,0,0,54.35,0,33.3,2872,328,3,0,0,53.659,0,0,0
23,No,11753,0.314,Day,66,0,0,0,0,100,0,0,0,0,0,0,0,0,0,15481,1182,7,0,0,64.706,0,0,0
23,No,10120,0.809,Night,2,0,14.4,0,4.5,61.875,39.64,40.14,14.5,1.3,0,0,0,0,0,12093,3662.429,3.143,0,7,2.607,38.78,9.125,0
23,Yes,571,0,Day,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,723,354,1,0,0,0,0,0,0
53,Yes,3484.667,1.35,Day,12.667,0,73.8,0,0,41.64,0,0,74.033,0,0,0,0,0,0,7570.833,275.5,2.667,0,0,36.893,0,0,0
53,Yes,3116.909,1.199,Day,14.571,0,36.05,69.867,82.4,46.822,49.6,14.8,17.8,28.733,0,0,0,0,0,1712.909,2680.5,2.364,2,6.5,52.9,10.891,23.597,6.5
